Time;Step;File;Log;Visa;Plate
20170328_17:12:11;Deriv_2;gcode/20170328_17:12:11Method.gcode;gcode/20170328_17:12:11Method.gcode;;test
20170328_17:13:10;Deriv_2;gcode/20170328_17:13:10Method.gcode;gcode/20170328_17:13:10Method.gcode;;test
20170328_17:13:11;Deriv_2;Emergency stop; LOG;;test
20170328_17:13:18;Deriv_2;gcode/20170328_17:13:18Method.gcode;gcode/20170328_17:13:18Method.gcode;;test
20170328_17:13:53;Deriv_2;Emergency stop; LOG;;test
20170328_17:13:53;Deriv_2;gcode/20170328_17:13:53Method.gcode;gcode/20170328_17:13:53Method.gcode;;test
20170328_17:14:30;Deriv_2;Emergency stop; LOG;;test
20170328_17:14:31;Deriv_2;gcode/20170328_17:14:31Method.gcode;gcode/20170328_17:14:31Method.gcode;;test
20170328_17:15:12;Deriv_2;Emergency stop; LOG;;test
20170328_17:15:13;Deriv_2;gcode/20170328_17:15:13Method.gcode;gcode/20170328_17:15:13Method.gcode;;test
20170328_17:19:33;Deriv_2;Emergency stop; LOG;;test
20170328_17:19:34;Deriv_2;gcode/20170328_17:19:34Method.gcode;gcode/20170328_17:19:34Method.gcode;;test
20170328_17:20:16;test_ink;gcode/20170328_17:20:16test_ink.gcode;gcode/20170328_17:20:16test_ink.gcode;;test
20170328_17:20:21;test_ink;gcode/20170328_17:20:21test_ink.gcode;gcode/20170328_17:20:21test_ink.gcode;;test
20170328_17:20:31;test_ink;gcode/20170328_17:20:31test_ink.gcode;gcode/20170328_17:20:31test_ink.gcode;;test
20170328_17:20:46;test_ink;gcode/20170328_17:20:46test_ink.gcode;gcode/20170328_17:20:46test_ink.gcode;;test
20170328_17:20:54;test_ink;gcode/20170328_17:20:54test_ink.gcode;gcode/20170328_17:20:54test_ink.gcode;;test
20170328_17:29:18;test_ink;gcode/20170328_17:29:18test_ink.gcode;gcode/20170328_17:29:18test_ink.gcode;;test
20170328_17:29:19;test_ink;gcode/20170328_17:29:19test_ink.gcode;gcode/20170328_17:29:19test_ink.gcode;;test
20170328_17:29:20;test_ink;gcode/20170328_17:29:20test_ink.gcode;gcode/20170328_17:29:20test_ink.gcode;;test
20170328_17:29:21;test_ink;gcode/20170328_17:29:21test_ink.gcode;gcode/20170328_17:29:21test_ink.gcode;;test
20170328_17:29:21;test_ink;gcode/20170328_17:29:21test_ink.gcode;gcode/20170328_17:29:21test_ink.gcode;;test
20170328_17:29:22;test_ink;gcode/20170328_17:29:22test_ink.gcode;gcode/20170328_17:29:22test_ink.gcode;;test
20170328_17:29:22;test_ink;gcode/20170328_17:29:22test_ink.gcode;gcode/20170328_17:29:22test_ink.gcode;;test
20170328_17:29:23;test_ink;gcode/20170328_17:29:23test_ink.gcode;gcode/20170328_17:29:23test_ink.gcode;;test
20170328_17:34:40;Connection;NA;Board disconnection;;test
20170329_08:47:49;Connection;NA;Board connection;;test
20170329_09:22:34;Connection;NA;Board disconnection;;test
20170329_13:13:58;Connection;NA;Board connection;;test
20170329_13:14:00;Connection;NA;Board connection;;test
20170329_13:14:02;Connection;NA;Board connection;;test
20170329_13:15:24;test_ink;gcode/20170329_13:15:24test_ink.gcode;gcode/20170329_13:15:24test_ink.gcode;;test
20170329_13:15:26;test_ink;gcode/20170329_13:15:26test_ink.gcode;gcode/20170329_13:15:26test_ink.gcode;;test
20170329_13:15:27;test_ink;gcode/20170329_13:15:27test_ink.gcode;gcode/20170329_13:15:27test_ink.gcode;;test
20170329_13:15:44;Deriv_2;gcode/20170329_13:15:44Method.gcode;gcode/20170329_13:15:44Method.gcode;;test
20170329_13:24:06;Deriv_2;Emergency stop; LOG;;test
20170329_13:24:07;Deriv_2;gcode/20170329_13:24:07Method.gcode;gcode/20170329_13:24:07Method.gcode;;test
20170329_13:27:49;Deriv_2;Emergency stop; LOG;;test
20170329_13:27:51;Deriv_2;gcode/20170329_13:27:51Method.gcode;gcode/20170329_13:27:51Method.gcode;;test
20170329_13:28:03;Deriv_2;Emergency stop; LOG;;test
20170329_13:30:16;Deriv_2;gcode/20170329_13:30:16Method.gcode;gcode/20170329_13:30:16Method.gcode;;test
20170329_13:37:13;Deriv_2;Emergency stop; LOG;;test
20170329_13:37:16;Deriv_2;gcode/20170329_13:37:16Method.gcode;gcode/20170329_13:37:16Method.gcode;;test
20170329_13:39:30;Deriv_2;Emergency stop; LOG;;test
20170329_13:39:44;Deriv_2;gcode/20170329_13:39:44Method.gcode;gcode/20170329_13:39:44Method.gcode;;test
20170329_13:48:07;Deriv_2;gcode/20170329_13:48:07Method.gcode;gcode/20170329_13:48:07Method.gcode;;test
20170329_13:48:08;Deriv_2;Emergency stop; LOG;;test
20170329_13:48:09;Deriv_2;gcode/20170329_13:48:09Method.gcode;gcode/20170329_13:48:09Method.gcode;;test
20170329_13:55:32;Deriv_2;Emergency stop; LOG;;test
20170329_13:55:34;Deriv_2;gcode/20170329_13:55:34Method.gcode;gcode/20170329_13:55:34Method.gcode;;test
20170329_13:55:39;Deriv_2;Emergency stop; LOG;;test
20170329_13:55:46;Deriv_2;gcode/20170329_13:55:46Method.gcode;gcode/20170329_13:55:46Method.gcode;;test
20170329_13:56:38;Deriv_2;gcode/20170329_13:56:38Method.gcode;gcode/20170329_13:56:38Method.gcode;;test
20170329_13:56:39;Deriv_2;Emergency stop; LOG;;test
20170329_13:56:40;Deriv_2;gcode/20170329_13:56:40Method.gcode;gcode/20170329_13:56:40Method.gcode;;test
20170329_14:01:00;Deriv_2;Emergency stop; LOG;;test
20170329_14:01:01;Deriv_2;gcode/20170329_14:01:01Method.gcode;gcode/20170329_14:01:01Method.gcode;;test
20170329_14:05:58;Connection;NA;Board disconnection;;test
20170329_14:25:19;Connection;NA;Board connection;;test
20170329_14:25:49;Connection;NA;Board connection;;test
20170329_14:26:30;Connection;NA;Board connection;;test
20170329_14:28:06;Connection;NA;Board connection;;test
20170329_14:28:13;Deriv_3;gcode/20170329_14:28:13Method.gcode;gcode/20170329_14:28:13Method.gcode;;test
20170329_14:28:49;Connection;NA;Board connection;;test
20170329_14:28:57;Deriv_3;gcode/20170329_14:28:57Method.gcode;gcode/20170329_14:28:57Method.gcode;;test
20170329_14:29:31;Deriv_3;Emergency stop; LOG;;test
20170329_14:29:31;Deriv_3;gcode/20170329_14:29:31Method.gcode;gcode/20170329_14:29:31Method.gcode;;test
20170329_14:29:52;Deriv_3;Emergency stop; LOG;;test
20170329_14:29:53;Deriv_3;gcode/20170329_14:29:53Method.gcode;gcode/20170329_14:29:53Method.gcode;;test
20170329_14:31:47;Connection;NA;Board connection;;test
20170330_13:19:38;SA;gcode/20170330_13:19:38Method.gcode;gcode/20170330_13:19:38Method.gcode;;test
20170330_13:19:45;SA;Emergency stop; LOG;;test
20170330_13:19:53;Connection;NA;Board connection;;test
20170330_13:20:03;SA;gcode/20170330_13:20:03Method.gcode;gcode/20170330_13:20:03Method.gcode;;test
20170330_13:20:32;SA;Emergency stop; LOG;;test
20170330_13:23:38;test_ink;gcode/20170330_13:23:37test_ink.gcode;gcode/20170330_13:23:37test_ink.gcode;;test
20170330_13:23:38;test_ink;gcode/20170330_13:23:38test_ink.gcode;gcode/20170330_13:23:38test_ink.gcode;;test
20170330_13:23:45;test_ink;gcode/20170330_13:23:45test_ink.gcode;gcode/20170330_13:23:45test_ink.gcode;;test
20170330_13:23:46;test_ink;gcode/20170330_13:23:46test_ink.gcode;gcode/20170330_13:23:46test_ink.gcode;;test
20170330_13:23:47;test_ink;gcode/20170330_13:23:47test_ink.gcode;gcode/20170330_13:23:47test_ink.gcode;;test
20170330_13:23:47;test_ink;gcode/20170330_13:23:47test_ink.gcode;gcode/20170330_13:23:47test_ink.gcode;;test
20170330_13:23:47;test_ink;gcode/20170330_13:23:47test_ink.gcode;gcode/20170330_13:23:47test_ink.gcode;;test
20170330_13:23:47;test_ink;gcode/20170330_13:23:47test_ink.gcode;gcode/20170330_13:23:47test_ink.gcode;;test
20170330_13:23:47;test_ink;gcode/20170330_13:23:47test_ink.gcode;gcode/20170330_13:23:47test_ink.gcode;;test
20170330_13:23:48;test_ink;gcode/20170330_13:23:48test_ink.gcode;gcode/20170330_13:23:48test_ink.gcode;;test
20170330_13:23:48;test_ink;gcode/20170330_13:23:48test_ink.gcode;gcode/20170330_13:23:48test_ink.gcode;;test
20170330_13:23:49;test_ink;gcode/20170330_13:23:49test_ink.gcode;gcode/20170330_13:23:49test_ink.gcode;;test
20170330_13:23:50;test_ink;gcode/20170330_13:23:50test_ink.gcode;gcode/20170330_13:23:50test_ink.gcode;;test
20170330_13:23:50;test_ink;gcode/20170330_13:23:50test_ink.gcode;gcode/20170330_13:23:50test_ink.gcode;;test
20170330_13:23:50;test_ink;gcode/20170330_13:23:50test_ink.gcode;gcode/20170330_13:23:50test_ink.gcode;;test
20170330_13:23:54;test_ink;gcode/20170330_13:23:54test_ink.gcode;gcode/20170330_13:23:54test_ink.gcode;;test
20170330_13:23:59;test_ink;gcode/20170330_13:23:59test_ink.gcode;gcode/20170330_13:23:59test_ink.gcode;;test
20170330_13:25:00;test_ink;gcode/20170330_13:25:00test_ink.gcode;gcode/20170330_13:25:00test_ink.gcode;;test
20170330_13:26:45;SA;gcode/20170330_13:26:45Method.gcode;gcode/20170330_13:26:45Method.gcode;;test
20170330_13:26:50;SA;Emergency stop; LOG;;test
20170330_13:26:58;SA;gcode/20170330_13:26:58Method.gcode;gcode/20170330_13:26:58Method.gcode;;test
20170330_13:41:45;SA;Emergency stop; LOG;;test
20170330_13:41:46;SA;gcode/20170330_13:41:46Method.gcode;gcode/20170330_13:41:46Method.gcode;;test
20170330_13:46:52;SA;Emergency stop; LOG;;test
20170330_13:53:06;SA;gcode/20170330_13:53:06Method.gcode;gcode/20170330_13:53:06Method.gcode;;test
20170330_14:03:06;SA;Emergency stop; LOG;;test
20170330_14:03:07;SA;gcode/20170330_14:03:07Method.gcode;gcode/20170330_14:03:07Method.gcode;;test
20170330_15:20:30;Connection;NA;Board disconnection;;test
20170330_15:53:07;Connection;NA;Board connection;;test
20170330_15:57:22;Deriv_3;gcode/20170330_15:57:22Method.gcode;gcode/20170330_15:57:22Method.gcode;;test
20170330_15:58:06;Deriv_3;Emergency stop; LOG;;test
20170330_15:58:08;Deriv_3;gcode/20170330_15:58:08Method.gcode;gcode/20170330_15:58:08Method.gcode;;test
20170330_15:59:01;Deriv_3;Emergency stop; LOG;;test
20170330_15:59:02;Deriv_3;gcode/20170330_15:59:02Method.gcode;gcode/20170330_15:59:02Method.gcode;;test
20170330_15:59:40;Deriv_3;Emergency stop; LOG;;test
20170330_15:59:41;Deriv_3;gcode/20170330_15:59:41Method.gcode;gcode/20170330_15:59:41Method.gcode;;test
20170330_16:00:20;Deriv_3;Emergency stop; LOG;;test
20170330_16:00:21;Deriv_3;gcode/20170330_16:00:21Method.gcode;gcode/20170330_16:00:21Method.gcode;;test
20170330_16:00:57;Deriv_3;Emergency stop; LOG;;test
20170330_16:00:58;Deriv_3;gcode/20170330_16:00:58Method.gcode;gcode/20170330_16:00:58Method.gcode;;test
20170330_16:01:38;Deriv_3;Emergency stop; LOG;;test
20170330_16:01:39;Deriv_3;gcode/20170330_16:01:39Method.gcode;gcode/20170330_16:01:39Method.gcode;;test
20170330_16:02:18;Deriv_3;Emergency stop; LOG;;test
20170330_16:02:19;Deriv_3;gcode/20170330_16:02:19Method.gcode;gcode/20170330_16:02:19Method.gcode;;test
20170330_16:02:58;Deriv_3;Emergency stop; LOG;;test
20170330_16:02:59;Deriv_3;gcode/20170330_16:02:59Method.gcode;gcode/20170330_16:02:59Method.gcode;;test
20170330_16:03:39;Deriv_3;Emergency stop; LOG;;test
20170330_16:03:40;Deriv_3;gcode/20170330_16:03:40Method.gcode;gcode/20170330_16:03:40Method.gcode;;test
20170330_16:23:02;Connection;NA;Board disconnection;;test
20170330_16:23:05;Connection;NA;Board connection;;test
20170330_16:23:49;Deriv_3;Emergency stop; LOG;;test
20170330_16:23:51;Deriv_3;gcode/20170330_16:23:50Method.gcode;gcode/20170330_16:23:50Method.gcode;;test
20170330_16:24:33;Deriv_3;Emergency stop; LOG;;test
20170330_16:24:36;Deriv_3;gcode/20170330_16:24:36Method.gcode;gcode/20170330_16:24:36Method.gcode;;test
20170330_16:25:10;Deriv_3;Emergency stop; LOG;;test
20170330_16:25:16;Deriv_3;gcode/20170330_16:25:16Method.gcode;gcode/20170330_16:25:16Method.gcode;;test
20170330_16:25:50;Deriv_3;Emergency stop; LOG;;test
20170330_16:25:55;Deriv_3;gcode/20170330_16:25:55Method.gcode;gcode/20170330_16:25:55Method.gcode;;test
20170330_16:26:33;Deriv_3;Emergency stop; LOG;;test
20170330_16:26:34;Deriv_3;gcode/20170330_16:26:34Method.gcode;gcode/20170330_16:26:34Method.gcode;;test
20170330_16:26:55;Deriv_3;Emergency stop; LOG;;test
20170330_16:27:03;Deriv_3;gcode/20170330_16:27:03Method.gcode;gcode/20170330_16:27:03Method.gcode;;test
20170330_16:27:42;Deriv_3;Emergency stop; LOG;;test
20170330_16:27:46;Deriv_3;gcode/20170330_16:27:46Method.gcode;gcode/20170330_16:27:46Method.gcode;;test
20170330_16:28:23;Deriv_3;Emergency stop; LOG;;test
20170330_16:28:24;Deriv_3;gcode/20170330_16:28:24Method.gcode;gcode/20170330_16:28:24Method.gcode;;test
20170330_16:28:57;Deriv_3;Emergency stop; LOG;;test
20170330_16:28:58;Deriv_3;gcode/20170330_16:28:58Method.gcode;gcode/20170330_16:28:58Method.gcode;;test
20170330_16:29:33;Deriv_3;Emergency stop; LOG;;test
20170330_16:29:36;Deriv_3;gcode/20170330_16:29:36Method.gcode;gcode/20170330_16:29:36Method.gcode;;test
20170330_16:30:10;Deriv_3;Emergency stop; LOG;;test
20170330_16:30:11;Deriv_3;gcode/20170330_16:30:11Method.gcode;gcode/20170330_16:30:11Method.gcode;;test
20170330_16:37:11;Connection;NA;Board disconnection;;test
20170331_10:39:55;Connection;NA;Board connection;;test
20170331_10:40:20;Deriv_3;gcode/20170331_10:40:20Method.gcode;gcode/20170331_10:40:20Method.gcode;;test
20170331_10:57:49;Deriv_3;gcode/20170331_10:57:49Method.gcode;gcode/20170331_10:57:49Method.gcode;;test
20170331_10:57:49;Deriv_3;Emergency stop; LOG;;test
20170331_10:57:50;Deriv_3;gcode/20170331_10:57:50Method.gcode;gcode/20170331_10:57:50Method.gcode;;test
20170331_11:00:00;Connection;NA;Board connection;;test
20170331_11:00:10;Deriv_3;gcode/20170331_11:00:10Method.gcode;gcode/20170331_11:00:10Method.gcode;;test
20170331_11:00:47;Deriv_3;gcode/20170331_11:00:47Method.gcode;gcode/20170331_11:00:47Method.gcode;;test
20170331_11:01:53;Connection;NA;Board connection;;test
20170331_11:02:07;Deriv_3;gcode/20170331_11:02:07Method.gcode;gcode/20170331_11:02:07Method.gcode;;test
20170331_11:02:13;Deriv_3;Emergency stop; LOG;;test
20170331_11:02:15;Deriv_3;gcode/20170331_11:02:15Method.gcode;gcode/20170331_11:02:15Method.gcode;;test
20170331_11:02:32;Deriv_3;gcode/20170331_11:02:32Method.gcode;gcode/20170331_11:02:32Method.gcode;;test
20170331_11:02:33;Deriv_3;gcode/20170331_11:02:33Method.gcode;gcode/20170331_11:02:33Method.gcode;;test
20170331_11:02:33;Deriv_3;gcode/20170331_11:02:33Method.gcode;gcode/20170331_11:02:33Method.gcode;;test
20170331_11:08:47;Deriv_3;gcode/20170331_11:08:47Method.gcode;gcode/20170331_11:08:47Method.gcode;;test
20170331_11:08:47;Deriv_3;Emergency stop; LOG;;test
20170331_11:08:48;Deriv_3;gcode/20170331_11:08:48Method.gcode;gcode/20170331_11:08:48Method.gcode;;test
20170331_11:34:11;Connection;NA;Board connection;;test
20170331_11:35:16;Connection;NA;Board connection;;test
20170331_11:35:47;Deriv_3;gcode/20170331_11:35:47Method.gcode;gcode/20170331_11:35:47Method.gcode;;test
20170331_12:07:01;Connection;NA;Board disconnection;;test
20170403_08:43:32;Connection;NA;Board connection;;test
20170403_08:45:38;Connection;NA;Board connection;;test
20170403_08:47:28;Connection;NA;Board connection;;test
20170403_08:48:16;Deriv_3;gcode/20170403_08:48:16Method.gcode;gcode/20170403_08:48:16Method.gcode;;test
20170403_08:48:35;Deriv_3;Emergency stop; LOG;;test
20170403_08:56:58;Connection;NA;Board disconnection;;test
20170403_11:09:56;Connection;NA;Board connection;;test
20170403_11:12:28;Deriv_3;gcode/20170403_11:12:28Method.gcode;gcode/20170403_11:12:28Method.gcode;;test
20170403_11:12:34;Deriv_3;Emergency stop; LOG;;test
20170403_11:21:14;Deriv_3;gcode/20170403_11:21:14Method.gcode;gcode/20170403_11:21:14Method.gcode;;test
20170403_11:24:37;Deriv_3;Emergency stop; LOG;;test
20170403_11:24:39;Deriv_3;gcode/20170403_11:24:39Method.gcode;gcode/20170403_11:24:39Method.gcode;;test
20170403_11:27:41;Deriv_3;Emergency stop; LOG;;test
20170411_14:26:59;Connection;NA;Board connection;;test
20170411_14:55:25;Deriv_3;gcode/20170411_14:55:25Method.gcode;gcode/20170411_14:55:25Method.gcode;;test
20170411_15:13:01;Deriv_3;Emergency stop; LOG;;test
20170411_15:13:02;Deriv_3;gcode/20170411_15:13:02Method.gcode;gcode/20170411_15:13:02Method.gcode;;test
20170411_15:22:11;Deriv_3;gcode/20170411_15:22:11Method.gcode;gcode/20170411_15:22:11Method.gcode;;test
20170411_15:22:12;Deriv_3;Emergency stop; LOG;;test
20170411_15:22:13;Deriv_3;gcode/20170411_15:22:13Method.gcode;gcode/20170411_15:22:13Method.gcode;;test
20170411_15:25:45;Deriv;gcode/20170411_15:25:45Method.gcode;gcode/20170411_15:25:45Method.gcode;;test
20170411_15:25:48;Deriv;Emergency stop; LOG;;test
20170411_15:25:49;Deriv;gcode/20170411_15:25:49Method.gcode;gcode/20170411_15:25:49Method.gcode;;test
20170411_15:38:03;Deriv_3;gcode/20170411_15:38:03Method.gcode;gcode/20170411_15:38:03Method.gcode;;test
20170411_15:38:04;Deriv_3;Emergency stop; LOG;;test
20170411_15:38:05;Deriv_3;gcode/20170411_15:38:05Method.gcode;gcode/20170411_15:38:05Method.gcode;;test
20170411_15:38:35;Deriv_3;Emergency stop; LOG;;test
20170411_15:38:43;Connection;NA;Board connection;;test
20170411_15:38:55;Deriv_3;gcode/20170411_15:38:55Method.gcode;gcode/20170411_15:38:55Method.gcode;;test
20170411_16:18:26;SA;Emergency stop; LOG;;test
20170411_16:18:27;SA;gcode/20170411_16:18:27Method.gcode;gcode/20170411_16:18:27Method.gcode;;test
20170411_16:19:05;SA;Emergency stop; LOG;;test
20170411_16:19:32;SA;gcode/20170411_16:19:32Method.gcode;gcode/20170411_16:19:32Method.gcode;;test
20170411_16:22:55;SA;Emergency stop; LOG;;test
20170411_16:23:06;SA;gcode/20170411_16:23:06Method.gcode;gcode/20170411_16:23:06Method.gcode;;test
20170411_16:29:59;test_ink;gcode/20170411_16:29:59test_ink.gcode;gcode/20170411_16:29:59test_ink.gcode;;test
20170411_16:30:04;test_ink;gcode/20170411_16:30:04test_ink.gcode;gcode/20170411_16:30:04test_ink.gcode;;test
20170411_16:30:11;test_ink;gcode/20170411_16:30:11test_ink.gcode;gcode/20170411_16:30:11test_ink.gcode;;test
20170411_16:30:15;test_ink;gcode/20170411_16:30:15test_ink.gcode;gcode/20170411_16:30:15test_ink.gcode;;test
20170411_16:30:19;test_ink;gcode/20170411_16:30:19test_ink.gcode;gcode/20170411_16:30:19test_ink.gcode;;test
20170411_16:30:37;Deriv_3;Emergency stop; LOG;;test
20170411_16:30:39;Deriv_3;gcode/20170411_16:30:39Method.gcode;gcode/20170411_16:30:39Method.gcode;;test
20170411_16:32:38;test_ink;gcode/20170411_16:32:38test_ink.gcode;gcode/20170411_16:32:38test_ink.gcode;;test
20170411_16:32:40;test_ink;gcode/20170411_16:32:40test_ink.gcode;gcode/20170411_16:32:40test_ink.gcode;;test
20170411_16:32:43;test_ink;gcode/20170411_16:32:43test_ink.gcode;gcode/20170411_16:32:43test_ink.gcode;;test
20170411_16:32:45;test_ink;gcode/20170411_16:32:45test_ink.gcode;gcode/20170411_16:32:45test_ink.gcode;;test
20170411_16:33:03;Deriv_3;Emergency stop; LOG;;test
20170411_16:33:10;Deriv_3;gcode/20170411_16:33:10Method.gcode;gcode/20170411_16:33:10Method.gcode;;test
20170411_16:36:08;test_ink;gcode/20170411_16:36:08test_ink.gcode;gcode/20170411_16:36:08test_ink.gcode;;test
20170411_16:36:10;test_ink;gcode/20170411_16:36:10test_ink.gcode;gcode/20170411_16:36:10test_ink.gcode;;test
20170411_16:36:13;test_ink;gcode/20170411_16:36:13test_ink.gcode;gcode/20170411_16:36:13test_ink.gcode;;test
20170411_16:36:15;test_ink;gcode/20170411_16:36:15test_ink.gcode;gcode/20170411_16:36:15test_ink.gcode;;test
20170411_16:36:19;test_ink;gcode/20170411_16:36:19test_ink.gcode;gcode/20170411_16:36:19test_ink.gcode;;test
20170411_16:36:30;Deriv_3;Emergency stop; LOG;;test
20170411_16:36:42;Deriv_3;gcode/20170411_16:36:42Method.gcode;gcode/20170411_16:36:42Method.gcode;;test
20170411_16:41:09;test_ink;gcode/20170411_16:41:09test_ink.gcode;gcode/20170411_16:41:09test_ink.gcode;;test
20170411_16:41:12;test_ink;gcode/20170411_16:41:12test_ink.gcode;gcode/20170411_16:41:12test_ink.gcode;;test
20170411_16:41:14;test_ink;gcode/20170411_16:41:14test_ink.gcode;gcode/20170411_16:41:14test_ink.gcode;;test
20170411_16:41:16;test_ink;gcode/20170411_16:41:16test_ink.gcode;gcode/20170411_16:41:16test_ink.gcode;;test
20170411_16:41:19;test_ink;gcode/20170411_16:41:19test_ink.gcode;gcode/20170411_16:41:19test_ink.gcode;;test
20170411_16:41:22;test_ink;gcode/20170411_16:41:22test_ink.gcode;gcode/20170411_16:41:22test_ink.gcode;;test
20170411_16:41:34;Deriv_3;Emergency stop; LOG;;test
20170411_16:41:35;Deriv_3;gcode/20170411_16:41:35Method.gcode;gcode/20170411_16:41:35Method.gcode;;test
20170411_16:47:06;test_ink;gcode/20170411_16:47:06test_ink.gcode;gcode/20170411_16:47:06test_ink.gcode;;test
20170411_16:47:08;test_ink;gcode/20170411_16:47:08test_ink.gcode;gcode/20170411_16:47:08test_ink.gcode;;test
20170411_16:47:11;test_ink;gcode/20170411_16:47:11test_ink.gcode;gcode/20170411_16:47:11test_ink.gcode;;test
20170411_16:47:13;test_ink;gcode/20170411_16:47:13test_ink.gcode;gcode/20170411_16:47:13test_ink.gcode;;test
20170411_16:47:15;test_ink;gcode/20170411_16:47:15test_ink.gcode;gcode/20170411_16:47:15test_ink.gcode;;test
20170411_16:47:17;test_ink;gcode/20170411_16:47:17test_ink.gcode;gcode/20170411_16:47:17test_ink.gcode;;test
20170411_16:47:20;test_ink;gcode/20170411_16:47:20test_ink.gcode;gcode/20170411_16:47:20test_ink.gcode;;test
20170411_16:47:22;test_ink;gcode/20170411_16:47:22test_ink.gcode;gcode/20170411_16:47:22test_ink.gcode;;test
20170411_16:47:24;test_ink;gcode/20170411_16:47:24test_ink.gcode;gcode/20170411_16:47:24test_ink.gcode;;test
20170411_16:47:26;test_ink;gcode/20170411_16:47:26test_ink.gcode;gcode/20170411_16:47:26test_ink.gcode;;test
20170411_16:51:35;Deriv_3;Emergency stop; LOG;;test
20170411_16:51:36;Deriv_3;gcode/20170411_16:51:36Method.gcode;gcode/20170411_16:51:36Method.gcode;;test
20170411_16:51:56;Deriv_3;Emergency stop; LOG;;test
20170411_16:52:02;Connection;NA;Board connection;;test
20170411_16:52:06;Deriv_3;gcode/20170411_16:52:06Method.gcode;gcode/20170411_16:52:06Method.gcode;;test
20170411_16:55:19;Deriv_3;Emergency stop; LOG;;test
20170411_16:55:20;Deriv_3;gcode/20170411_16:55:20Method.gcode;gcode/20170411_16:55:20Method.gcode;;test
20170411_16:58:54;Deriv_3;Emergency stop; LOG;;test
20170411_16:58:55;Deriv_3;gcode/20170411_16:58:55Method.gcode;gcode/20170411_16:58:55Method.gcode;;test
20170411_17:02:12;Deriv_3;Emergency stop; LOG;;test
20170411_17:02:22;Deriv_3;gcode/20170411_17:02:22Method.gcode;gcode/20170411_17:02:22Method.gcode;;test
20170411_17:07:17;test_ink;gcode/20170411_17:07:17test_ink.gcode;gcode/20170411_17:07:17test_ink.gcode;;test
20170411_17:07:19;test_ink;gcode/20170411_17:07:19test_ink.gcode;gcode/20170411_17:07:19test_ink.gcode;;test
20170411_17:07:23;test_ink;gcode/20170411_17:07:23test_ink.gcode;gcode/20170411_17:07:23test_ink.gcode;;test
20170411_17:07:26;test_ink;gcode/20170411_17:07:26test_ink.gcode;gcode/20170411_17:07:26test_ink.gcode;;test
20170411_17:08:51;Deriv_3;Emergency stop; LOG;;test
20170411_17:08:53;Deriv_3;gcode/20170411_17:08:53Method.gcode;gcode/20170411_17:08:53Method.gcode;;test
20170411_17:10:57;Deriv_3;gcode/20170411_17:10:57Method.gcode;gcode/20170411_17:10:57Method.gcode;;test
20170411_17:10:58;Deriv_3;Emergency stop; LOG;;test
20170411_17:10:59;Deriv_3;gcode/20170411_17:10:59Method.gcode;gcode/20170411_17:10:59Method.gcode;;test
20170418_13:41:53;Connection;NA;Board connection;;test
20170418_13:43:43;Connection;NA;Board connection;;test
20170418_13:44:14;Connection;NA;Board disconnection;;test
20170420_11:22:34;Connection;NA;Board connection;;test
20170420_11:24:53;Connection;NA;Board disconnection;;test
20170421_09:09:04;Connection;NA;Board connection;;test
20170421_09:13:08;SA_2;gcode/20170421_09:13:08Method.gcode;gcode/20170421_09:13:08Method.gcode;;test
20170421_09:14:55;SA_2;Emergency stop; LOG;;test
20170421_09:14:55;SA_2;gcode/20170421_09:14:55Method.gcode;gcode/20170421_09:14:55Method.gcode;;test
20170421_09:17:40;SA_2;Emergency stop; LOG;;test
20170421_09:17:41;SA_2;gcode/20170421_09:17:41Method.gcode;gcode/20170421_09:17:41Method.gcode;;test
20170421_09:18:53;SA_2;Emergency stop; LOG;;test
20170421_09:18:54;SA_2;gcode/20170421_09:18:54Method.gcode;gcode/20170421_09:18:54Method.gcode;;test
20170421_09:20:06;SA_2;Emergency stop; LOG;;test
20170421_09:20:07;SA_2;gcode/20170421_09:20:07Method.gcode;gcode/20170421_09:20:07Method.gcode;;test
20170421_09:25:14;SA_2;Emergency stop; LOG;;test
20170421_09:25:16;SA_2;gcode/20170421_09:25:16Method.gcode;gcode/20170421_09:25:16Method.gcode;;test
20170421_09:25:51;SA_2;Emergency stop; LOG;;test
20170421_09:25:52;SA_2;gcode/20170421_09:25:52Method.gcode;gcode/20170421_09:25:52Method.gcode;;test
20170421_09:29:02;SA_2;Emergency stop; LOG;;test
20170421_09:29:03;SA_2;gcode/20170421_09:29:03Method.gcode;gcode/20170421_09:29:03Method.gcode;;test
20170421_09:39:49;SA_2;Emergency stop; LOG;;test
20170421_09:39:57;SA_2;gcode/20170421_09:39:57Method.gcode;gcode/20170421_09:39:57Method.gcode;;test
20170421_09:40:23;SA_2;Emergency stop; LOG;;test
20170421_09:42:48;SA_2;gcode/20170421_09:42:48Method.gcode;gcode/20170421_09:42:48Method.gcode;;test
20170421_09:49:59;SA_2;Emergency stop; LOG;;test
20170421_09:50:06;SA_2;gcode/20170421_09:50:06Method.gcode;gcode/20170421_09:50:06Method.gcode;;test
20170421_09:58:18;Connection;NA;Board disconnection;;test
20170421_09:58:23;Connection;NA;Board connection;;test
20170421_09:59:27;SA_2;gcode/20170421_09:59:27Method.gcode;gcode/20170421_09:59:27Method.gcode;;test
20170421_10:11:27;SA_2;Emergency stop; LOG;;test
20170421_10:11:28;SA_2;gcode/20170421_10:11:28Method.gcode;gcode/20170421_10:11:28Method.gcode;;test
